name,species,gender,homeworld,occupation,affiliation,forces_way
Halsey,Roonan,Male,Roona,Jedi Knight,Jedi Order,Light side
Ima-Gun Di,Nikto (Kajain'sa'Nikto),Male,Kintan,Jedi Master,Jedi Order,Light side
Jinx,Twi'lek,Male,Ryloth,Youngling,Jedi Order,Light side
Jocasta Nu,Human,Female,Coruscant,Chief Librarian of the Jedi Archives,Jedi Order,Light side
Joy,Unknown,Female,Wellspring of Life,Force Priestess,Force Priestesses,Light side
K'Kruhk,Whiphid,Male,Toola,Jedi General,Jedi Order,Light side
Kalifa,Human,Female,Corellia,Youngling,Jedi Order,Light side
Karis,Zabrak,Female,Dathomir,Witch,Nightsisters,Dark Side
Katooni,Tholothian,Female,Tholoth,Youngling,Jedi Order,Light side
Kav Bayons,Chagrian,Male,Unknown,Jedi Knight,Jedi Order,Light side
Ki-Adi-Mundi,Cerean,Male,Cerea,Jedi Master,Jedi Order,Light side
Kit Fisto,Nautolan,Male,Glee Anselm,Jedi Master,Jedi Order,Light side
Knox,Nautolan,Male,Glee Anselm,Padawan,Jedi Order,Light side
Ky Narec,Human,Male,Unknown,Jedi Knight,Jedi Order,Light side
Luce,Zabrak,Female,Dathomir,Witch,Nightsisters,Dark Side
Luminara Unduli,Mirialan,Female,Mirial,Jedi Master,Jedi Order,Light side
Lyco Strata,Human,Male,Unknown,Padawan,Jedi Order,Light side
Ma'kis,Nikto,Male,Unknown,Jedi General,Jedi Order,Light side
Mace Windu,Human,Male,Haruun Kal,Master of the Jedi Order,Jedi Order,Light side
Naa'leth,Zabrak,Female,Dathomir,Witch,Nightsisters,Dark Side
Nahdar Vebb,Mon Calamari,Male,Dac,Jedi Knight,Jedi Order,Light side
Neebo,Unknown,Female,Unknown,Jedi Master,Jedi Order,Light side
O-Mer,Cerean,Male,Cerea,Youngling,Jedi Order,Light side
Obi-Wan Kenobi,Human,Male,Stewjon,Jedi Master,Jedi Order,Light side
Oppo Rancisis,Thisspiasian,Male,Thisspias,Jedi Master,Jedi Order,Light side
Ord Enisence,Skrilling,Male,Agriworld-2079,Jedi General,Jedi Order,Light side
Petro,Human,Male,Corellia,Youngling,Jedi Order,Light side
Plo Koon,Kel Dor,Male,Dorin,Jedi Master,Jedi Order,Light side
Pong Krell,Besalisk,Male,Ojom,Jedi Master,Jedi Order,Light side
Qui-Gon Jinn,Human,Male,Coruscant,Jedi Master,Jedi Order,Light side
Quinlan Vos,Kiffar,Male,Kiffu,Jedi Master,Jedi Order,Light side
Ran Deezy,Unidentified,Male,Unknown,Youngling,Jedi Order,Light side
Revan,Human,Male,Somwhere in the Outer Rim,Jedi Master,Jedi Order,Light side
Rig Nema,Halaisi,Female,Halais,Medics of the Jedi Order,Jedi Order,Light side
Roron Corobb,Ithorian,Male,Ithor,Jedi Master,Jedi Order,Light side
Sadness,Unknown,Female,Wellspring of Life,Force Priestess,Force Priestesses,Light side
Saesee Tiin,Iktotchi,Male,ktotch,Jedi Master,Jedi Order,Light side
Savage Opress,Zabrak,Male,Dathomir,Sith Disciple,Sith Order,Dark Side
Serenity,Unknown,Female,Wellspring of Life,Force Priestess,Force Priestesses,Light side
Sha'a Gi,Human,Male,Ord Biniir,Padawan,Jedi Order,Light side
Shaak Ti,Togruta,Female,Shili,Jedi Master,Jedi Order,Light side
Sifo-Dyas,Human,Male,Minashee,Jedi Master,Jedi Order,Light side
Sora Bulq,Weequay,Male,Sriluur and Ruul,Jedi Master,Jedi Order,Light side
Stass Allie,Tholothian,Female,Tholoth,Jedi Master,Jedi Order,Light side
Talia,Zabrak,Female,Dathomir,Witch,Nightsisters,Dark Side
Talzin,Zabrak,Female,Dathomir,Leader of the Nightsisters,Nightsisters,Dark Side
Tarr Seirr,Cerean,Male,Cerea,Jedi Knight,Jedi Order,Light side
Tera Sinube,Cosian,Male,Cosia,Jedi Master,Jedi Order,Light side
The Daughter,The Ones,Female,Mortis,Keeper of the Light Side,The Ones,Light side
The Father,The Ones,Male,Mortis,Keeper of the Balance,The Ones,Balance
The Son,The Ones,Male,Mortis,Keeper of the Dark Side,The Ones,Dark Side
Thongla Jur,Anx,Male,Gravlex Med,Jedi Knight,Jedi Order,Light side
Tiplar,Mikkian,Female,Unknown,Jedi Master,Jedi Order,Light side
Tiplee,Mikkian,Female,Mikkia,Jedi Master,Jedi Order,Light side
Tu-Anh,Human,Female,Unknown,Jedi Master,Jedi Order,Light side
Tutso Mara,Unknown,Male,Unknown,Jedi Knight,Jedi Order,Light side
Viscus,Zabrak,Male,Dathomir,Leader of the Nightbrothers,Nightbrothers,Dark Side
Voolvif Monn,Shistavanen,Male,Uneva Prime,Jedi General,Jedi Order,Light side
Wee Dunn,Rodian,Male,Rodia,Youngling,Jedi Order,Light side
Yaddle,Unknown,Female,Unknown,Jedi Master,Jedi Order,Light side
Yoda,Unknown,Male,Unknown,Grand Master Jedi,Jedi Order,Light side
Zatt,Nautolan,Male,Glee Anselm,Youngling,Jedi Order,Light side
Zinn Toa,Nautolan,Male,Glee Anselm,Youngling,Jedi Order,Light side
